Player,Team,Position,Games,Goals,Assists,Points,Shots
Connor McDavid,EDM,C,76,32,100,132,263
Nathan MacKinnon,COL,C,82,51,89,140,405
Auston Matthews,TOR,C,81,69,38,107,369
David Pastrnak,BOS,RW,82,47,63,110,382
Nikita Kucherov,TBL,RW,81,44,100,144,306
Artemi Panarin,NYR,LW,82,49,71,120,303
Leon Draisaitl,EDM,C,81,41,65,106,217
Mikko Rantanen,COL,RW,80,42,62,104,272
Matthew Tkachuk,FLA,LW,80,26,62,88,279
Jack Hughes,NJD,C,62,27,47,74,230
Brayden Point,TBL,C,81,46,44,90,217
William Nylander,TOR,RW,82,40,58,98,305
Sidney Crosby,PIT,C,82,42,52,94,278
Cale Makar,COL,D,77,21,69,90,231
Quinn Hughes,VAN,D,82,17,75,92,199
Adam Fox,NYR,D,72,17,56,73,167
Roman Josi,NSH,D,82,23,62,85,268
J.T. Miller,VAN,C,81,37,66,103,194
Filip Forsberg,NSH,LW,82,48,46,94,347
Jason Robertson,DAL,LW,82,29,51,80,231
