PlayerId,Player,Team,Position,Games,Goals,Assists,Points,Shots,Shots Per Game,Shot Percentage,Points Per Game,Goals Per Game,Assists Per Game,PlusMinus,PIM,TOI Per Game
8476453,Nikita Kucherov,TBL,R,78,37,84,121,265,3.3974358974358974,13.962264150943396,1.5512820512820513,0.47435897435897434,1.0769230769230769,22,45,1271.3717
8477492,Nathan MacKinnon,COL,C,79,32,84,116,320,4.050632911392405,10.0,1.4683544303797469,0.4050632911392405,1.0632911392405062,25,41,1366.9493
8477956,David Pastrnak,BOS,R,82,43,63,106,319,3.8902439024390243,13.479623824451412,1.2926829268292683,0.524390243902439,0.7682926829268293,0,42,1211.1707
8477934,Leon Draisaitl,EDM,C,71,52,54,106,240,3.380281690140845,21.666666666666668,1.4929577464788732,0.7323943661971831,0.7605633802816901,32,34,1291.0422
8478483,Mitch Marner,TOR,R,81,27,75,102,173,2.1358024691358026,15.606936416184972,1.2592592592592593,0.3333333333333333,0.9259259259259259,18,14,1278.9259
8478402,Connor McDavid,EDM,C,67,26,74,100,196,2.925373134328358,13.26530612244898,1.492537313432836,0.3880597014925373,1.1044776119402986,20,37,1321.8805
8478398,Kyle Connor,WPG,L,82,41,56,97,267,3.2560975609756095,15.355805243445692,1.1829268292682926,0.5,0.6829268292682927,17,25,1223.6829
8478403,Jack Eichel,VGK,C,77,28,66,94,233,3.0259740259740258,12.017167381974248,1.2207792207792207,0.36363636363636365,0.8571428571428571,32,8,1232.0129
8480069,Cale Makar,COL,D,80,30,62,92,246,3.075,12.195121951219512,1.15,0.375,0.775,28,14,1542.975
8471675,Sidney Crosby,PIT,C,80,33,58,91,227,2.8375,14.537444933920703,1.1375,0.4125,0.725,-20,31,1222.475
8479343,Clayton Keller,UTA,R,81,30,60,90,218,2.691358024691358,13.761467889908257,1.1111111111111112,0.37037037037037035,0.7407407407407407,-12,28,1147.0864
8479542,Brandon Hagel,TBL,L,82,35,55,90,228,2.7804878048780486,15.350877192982457,1.0975609756097562,0.4268292682926829,0.6707317073170732,33,58,1244.5975
8478550,Artemi Panarin,NYR,L,80,37,52,89,237,2.9625,15.611814345991561,1.1125,0.4625,0.65,-9,16,1180.9875
8480018,Nick Suzuki,MTL,C,82,30,59,89,172,2.097560975609756,17.441860465116278,1.0853658536585367,0.36585365853658536,0.7195121951219512,19,8,1203.6341
8478420,Mikko Rantanen,DAL,R,82,32,56,88,212,2.5853658536585367,15.09433962264151,1.0731707317073171,0.3902439024390244,0.6829268292682927,13,60,1274.9512
8479407,Jesper Bratt,NJD,L,81,21,67,88,180,2.2222222222222223,11.666666666666666,1.0864197530864197,0.25925925925925924,0.8271604938271605,5,18,1136.8888
8476460,Mark Scheifele,WPG,C,82,39,48,87,181,2.207317073170732,21.54696132596685,1.0609756097560976,0.47560975609756095,0.5853658536585366,12,61,1226.3902
8477939,William Nylander,TOR,R,82,45,39,84,253,3.0853658536585367,17.786561264822133,1.024390243902439,0.5487804878048781,0.47560975609756095,10,26,1170.5731
8480039,Martin Necas,COL,C,79,27,56,83,194,2.4556962025316458,13.917525773195877,1.0506329113924051,0.34177215189873417,0.7088607594936709,5,16,1139.9113
8478010,Brayden Point,TBL,C,77,42,40,82,189,2.4545454545454546,22.22222222222222,1.0649350649350648,0.5454545454545454,0.5194805194805194,17,7,1168.7532
8478440,Dylan Strome,WSH,C,82,29,53,82,149,1.8170731707317074,19.463087248322147,1.0,0.35365853658536583,0.6463414634146342,2,34,1043.0243
8478460,Zach Werenski,CBJ,D,81,23,59,82,298,3.6790123456790123,7.718120805369128,1.0123456790123457,0.2839506172839506,0.7283950617283951,12,31,1604.716
8475168,Matt Duchene,DAL,C,82,30,52,82,152,1.853658536585366,19.736842105263158,1.0,0.36585365853658536,0.6341463414634146,13,12,1028.5731
8480023,Robert Thomas,STL,C,70,21,60,81,145,2.0714285714285716,14.482758620689657,1.1571428571428573,0.3,0.8571428571428571,20,20,1197.4857
8477933,Sam Reinhart,FLA,C,79,39,42,81,213,2.6962025316455698,18.30985915492958,1.0253164556962024,0.4936708860759494,0.5316455696202531,6,27,1230.1392
8480027,Jason Robertson,DAL,L,82,35,45,80,211,2.573170731707317,16.587677725118482,0.975609756097561,0.4268292682926829,0.5487804878048781,10,18,1067.6097
8477404,Jake Guentzel,TBL,C,80,41,39,80,217,2.7125,18.89400921658986,1.0,0.5125,0.4875,18,24,1199.5625
8482078,Lucas Raymond,DET,L,82,27,53,80,192,2.341463414634146,14.0625,0.975609756097561,0.32926829268292684,0.6463414634146342,-15,18,1127.0
8482116,Tim Stützle,OTT,C,82,24,55,79,162,1.975609756097561,14.814814814814813,0.9634146341463414,0.2926829268292683,0.6707317073170732,0,46,1188.7804
8479318,Auston Matthews,TOR,C,67,33,45,78,261,3.8955223880597014,12.643678160919542,1.164179104477612,0.4925373134328358,0.6716417910447762,11,20,1228.3283
8476887,Filip Forsberg,NSH,L,82,31,45,76,281,3.426829268292683,11.032028469750891,0.926829268292683,0.3780487804878049,0.5487804878048781,-27,44,1117.6707
8480800,Quinn Hughes,VAN,D,68,16,60,76,192,2.823529411764706,8.333333333333332,1.1176470588235294,0.23529411764705882,0.8823529411764706,2,29,1543.75
8478439,Travis Konecny,PHI,R,82,24,52,76,188,2.292682926829268,12.76595744680851,0.926829268292683,0.2926829268292683,0.6341463414634146,-17,53,1236.1707
8480893,Kirill Marchenko,CBJ,R,79,31,43,74,207,2.6202531645569622,14.975845410628018,0.9367088607594937,0.3924050632911392,0.5443037974683544,29,20,1114.9873
8478427,Sebastian Aho,CAR,C,79,29,45,74,207,2.6202531645569622,14.009661835748794,0.9367088607594937,0.3670886075949367,0.569620253164557,7,46,1206.0126
8475166,John Tavares,TOR,C,75,38,36,74,200,2.6666666666666665,19.0,0.9866666666666667,0.5066666666666667,0.48,10,46,1093.5333
8477960,Adrian Kempe,LAK,R,81,35,38,73,237,2.925925925925926,14.767932489451477,0.9012345679012346,0.43209876543209874,0.4691358024691358,22,36,1149.3209
8471214,Alex Ovechkin,WSH,L,65,44,29,73,237,3.646153846153846,18.565400843881857,1.123076923076923,0.676923076923077,0.4461538461538462,15,14,1063.4615
8481557,Matt Boldy,MIN,L,82,27,46,73,271,3.3048780487804876,9.96309963099631,0.8902439024390244,0.32926829268292684,0.5609756097560976,1,51,1217.2926
8479420,Tage Thompson,BUF,C,76,44,28,72,242,3.1842105263157894,18.181818181818183,0.9473684210526315,0.5789473684210527,0.3684210526315789,-2,35,1125.3815
8482740,Wyatt Johnston,DAL,C,82,33,38,71,202,2.4634146341463414,16.33663366336634,0.8658536585365854,0.4024390243902439,0.4634146341463415,2,14,1135.5487
8477493,Aleksander Barkov,FLA,C,67,20,51,71,149,2.2238805970149254,13.422818791946309,1.0597014925373134,0.29850746268656714,0.7611940298507462,1,16,1215.4776
8476468,J.T. Miller,NYR,C,72,22,48,70,137,1.9027777777777777,16.05839416058394,0.9722222222222222,0.3055555555555556,0.6666666666666666,-6,55,1092.0138
8479385,Jordan Kyrou,STL,R,82,36,34,70,239,2.9146341463414633,15.062761506276152,0.8536585365853658,0.43902439024390244,0.4146341463414634,23,20,1048.9512
8476483,Rickard Rakell,PIT,R,81,35,35,70,203,2.506172839506173,17.24137931034483,0.8641975308641975,0.43209876543209874,0.43209876543209874,-22,14,1157.8518
8477946,Dylan Larkin,DET,C,82,30,40,70,234,2.8536585365853657,12.82051282051282,0.8536585365853658,0.36585365853658536,0.4878048780487805,-16,40,1204.2439
8481540,Cole Caufield,MTL,R,82,37,33,70,240,2.926829268292683,15.416666666666668,0.8536585365853658,0.45121951219512196,0.4024390243902439,9,14,1084.5609
8479337,Alex DeBrincat,DET,R,82,39,31,70,244,2.975609756097561,15.983606557377051,0.8536585365853658,0.47560975609756095,0.3780487804878049,-13,29,1072.2682
8481559,Jack Hughes,NJD,C,62,27,43,70,229,3.693548387096774,11.790393013100436,1.1290322580645162,0.43548387096774194,0.6935483870967742,12,18,1254.0483
8480002,Nico Hischier,NJD,C,75,35,34,69,187,2.493333333333333,18.71657754010695,0.92,0.4666666666666667,0.4533333333333333,9,20,1223.28
8480839,Rasmus Dahlin,BUF,D,73,17,51,68,200,2.73972602739726,8.5,0.9315068493150684,0.2328767123287671,0.6986301369863014,11,54,1454.1369
8482175,JJ Peterka,Unknown,R,77,27,41,68,173,2.2467532467532467,15.606936416184972,0.8831168831168831,0.35064935064935066,0.5324675324675324,-1,34,1091.0389
8480208,Drake Batherson,OTT,R,82,26,42,68,192,2.341463414634146,13.541666666666666,0.8292682926829268,0.3170731707317073,0.5121951219512195,-9,30,1088.5487
8478449,Roope Hintz,DAL,C,76,28,39,67,160,2.1052631578947367,17.5,0.881578947368421,0.3684210526315789,0.5131578947368421,18,30,1013.4736
8480803,Evan Bouchard,EDM,D,82,14,53,67,235,2.8658536585365852,5.957446808510639,0.8170731707317073,0.17073170731707318,0.6463414634146342,14,32,1407.5
8484144,Connor Bedard,CHI,C,82,23,44,67,195,2.3780487804878048,11.794871794871794,0.8170731707317073,0.2804878048780488,0.5365853658536586,-36,70,1217.1341
8482093,Seth Jarvis,CAR,C,73,32,35,67,204,2.7945205479452055,15.686274509803921,0.9178082191780822,0.4383561643835616,0.4794520547945205,12,16,1161.3561
8475913,Mark Stone,VGK,R,66,19,48,67,131,1.9848484848484849,14.50381679389313,1.0151515151515151,0.2878787878787879,0.7272727272727273,22,14,1155.2575
8475172,Nazem Kadri,CGY,C,82,35,32,67,279,3.402439024390244,12.544802867383511,0.8170731707317073,0.4268292682926829,0.3902439024390244,-17,72,1161.2926
8471685,Anze Kopitar,LAK,C,81,21,46,67,98,1.2098765432098766,21.428571428571427,0.8271604938271605,0.25925925925925924,0.5679012345679012,14,4,1137.3456
8477949,Alex Tuch,BUF,R,82,36,31,67,196,2.3902439024390243,18.367346938775512,0.8170731707317073,0.43902439024390244,0.3780487804878049,16,47,1155.256
8481656,Aliaksei Protas,WSH,L,76,30,36,66,142,1.868421052631579,21.12676056338028,0.868421052631579,0.39473684210526316,0.47368421052631576,40,18,987.3684
8475167,Victor Hedman,TBL,D,79,15,51,66,181,2.2911392405063293,8.287292817679557,0.8354430379746836,0.189873417721519,0.6455696202531646,18,30,1384.7848
8483457,Lane Hutson,MTL,D,82,6,60,66,91,1.1097560975609757,6.593406593406594,0.8048780487804879,0.07317073170731707,0.7317073170731707,-2,34,1363.9878
8479400,Pierre-Luc Dubois,WSH,C,82,20,46,66,142,1.7317073170731707,14.084507042253522,0.8048780487804879,0.24390243902439024,0.5609756097560976,27,76,1037.9878
8475798,Mikael Granlund,DAL,C,83,22,44,66,169,2.036144578313253,13.017751479289942,0.7951807228915663,0.26506024096385544,0.5301204819277109,0,28,1166.9879
8483431,Logan Cooley,UTA,C,75,25,40,65,158,2.1066666666666665,15.822784810126583,0.8666666666666667,0.3333333333333333,0.5333333333333333,1,46,1071.68
8475810,Bryan Rust,PIT,R,71,31,34,65,191,2.6901408450704225,16.230366492146597,0.9154929577464789,0.43661971830985913,0.4788732394366197,-21,18,1185.0422
8476880,Tom Wilson,WSH,R,81,33,32,65,169,2.0864197530864197,19.526627218934912,0.8024691358024691,0.4074074074074074,0.3950617283950617,20,100,1123.6049
8484387,Matvei Michkov,PHI,R,80,26,37,63,199,2.4875,13.06532663316583,0.7875,0.325,0.4625,-18,46,1001.0625
8484801,Macklin Celebrini,SJS,C,70,25,38,63,236,3.3714285714285714,10.59322033898305,0.9,0.35714285714285715,0.5428571428571428,-31,28,1187.2857
8477951,Nick Schmaltz,UTA,C,82,20,43,63,186,2.268292682926829,10.75268817204301,0.7682926829268293,0.24390243902439024,0.524390243902439,-15,14,1115.2926
8477940,Nikolaj Ehlers,WPG,L,69,24,39,63,174,2.5217391304347827,13.793103448275861,0.9130434782608695,0.34782608695652173,0.5652173913043478,14,17,947.6956
8482077,Dylan Holloway,STL,L,77,26,37,63,178,2.311688311688312,14.606741573033707,0.8181818181818182,0.33766233766233766,0.4805194805194805,21,10,1009.4675
8476459,Mika Zibanejad,NYR,C,82,20,42,62,183,2.231707317073171,10.92896174863388,0.7560975609756098,0.24390243902439024,0.5121951219512195,-22,22,1125.7439
8477987,Ryan Donato,CHI,C,80,31,31,62,182,2.275,17.032967032967033,0.775,0.3875,0.3875,-15,41,978.55
8477504,Josh Morrissey,WPG,D,80,14,48,62,172,2.15,8.13953488372093,0.775,0.175,0.6,17,22,1463.475
8476456,Jonathan Huberdeau,CGY,L,81,28,34,62,153,1.8888888888888888,18.30065359477124,0.7654320987654321,0.345679012345679,0.41975308641975306,-13,34,1172.5185
8476881,Tomas Hertl,VGK,C,73,32,29,61,177,2.4246575342465753,18.07909604519774,0.8356164383561644,0.4383561643835616,0.3972602739726027,-3,20,1027.0
8479323,Adam Fox,NYR,D,74,10,51,61,135,1.8243243243243243,7.4074074074074066,0.8243243243243243,0.13513513513513514,0.6891891891891891,9,32,1394.9324
8480014,Gabriel Vilardi,WPG,C,71,27,34,61,130,1.8309859154929577,20.76923076923077,0.8591549295774648,0.38028169014084506,0.4788732394366197,9,14,1088.169
8477955,Jared McCann,SEA,L,82,22,39,61,202,2.4634146341463414,10.891089108910892,0.7439024390243902,0.2682926829268293,0.47560975609756095,8,18,1032.6463
8482079,Marco Rossi,MIN,C,82,24,36,60,136,1.6585365853658536,17.647058823529413,0.7317073170731707,0.2926829268292683,0.43902439024390244,3,26,1094.7439
8477942,Kevin Fiala,LAK,L,81,35,25,60,244,3.0123456790123457,14.344262295081966,0.7407407407407407,0.43209876543209874,0.30864197530864196,-7,38,1110.8148
8482699,Dylan Guenther,UTA,R,70,27,33,60,204,2.914285714285714,13.23529411764706,0.8571428571428571,0.38571428571428573,0.4714285714285714,-4,26,1019.8285
8476389,Vincent Trocheck,NYR,C,82,26,33,59,202,2.4634146341463414,12.871287128712872,0.7195121951219512,0.3170731707317073,0.4024390243902439,0,44,1265.939
8474141,Patrick Kane,DET,R,72,21,38,59,175,2.4305555555555554,12.0,0.8194444444444444,0.2916666666666667,0.5277777777777778,-16,12,1078.7638
8478519,Anthony Cirelli,TBL,C,80,27,32,59,160,2.0,16.875,0.7375,0.3375,0.4,30,28,1121.425
8482667,William Eklund,SJS,L,77,17,41,58,151,1.9610389610389611,11.258278145695364,0.7532467532467533,0.22077922077922077,0.5324675324675324,-7,29,1173.1948
8476882,Teuvo Teravainen,CHI,C,82,15,43,58,111,1.353658536585366,13.513513513513514,0.7073170731707317,0.18292682926829268,0.524390243902439,-23,12,1023.939
8482720,Matthew Knies,TOR,L,78,29,29,58,152,1.9487179487179487,19.078947368421055,0.7435897435897436,0.3717948717948718,0.3717948717948718,7,43,1110.8974
8482105,Jake Sanderson,OTT,D,80,11,46,57,195,2.4375,5.641025641025641,0.7125,0.1375,0.575,-14,12,1466.525
8479987,Morgan Geekie,BOS,C,77,33,24,57,150,1.948051948051948,22.0,0.7402597402597403,0.42857142857142855,0.3116883116883117,3,22,1015.2207
8477500,Bo Horvat,NYI,C,81,28,29,57,243,3.0,11.522633744855968,0.7037037037037037,0.345679012345679,0.35802469135802467,-4,16,1210.4074
8481580,Connor McMichael,WSH,L,82,26,31,57,177,2.158536585365854,14.689265536723164,0.6951219512195121,0.3170731707317073,0.3780487804878049,19,49,1008.5121
8477447,Shea Theodore,VGK,D,67,7,50,57,128,1.9104477611940298,5.46875,0.8507462686567164,0.1044776119402985,0.746268656716418,18,26,1319.5223
8482660,Kent Johnson,CBJ,C,68,24,33,57,123,1.8088235294117647,19.51219512195122,0.8382352941176471,0.35294117647058826,0.4852941176470588,2,16,1037.6323
8479314,Matthew Tkachuk,FLA,L,52,22,35,57,156,3.0,14.102564102564102,1.0961538461538463,0.4230769230769231,0.6730769230769231,-3,54,1093.8846
8477497,Sean Monahan,CBJ,C,54,19,38,57,128,2.3703703703703702,14.84375,1.0555555555555556,0.35185185185185186,0.7037037037037037,19,20,1140.8888
8477402,Pavel Buchnevich,STL,L,76,20,37,57,145,1.9078947368421053,13.793103448275861,0.75,0.2631578947368421,0.4868421052631579,10,23,1141.5921
8478864,Kirill Kaprizov,MIN,L,41,25,31,56,145,3.5365853658536586,17.24137931034483,1.3658536585365855,0.6097560975609756,0.7560975609756098,19,16,1348.0243
8475754,Brock Nelson,COL,C,80,26,30,56,193,2.4125,13.471502590673575,0.7,0.325,0.375,8,18,1134.75
8476539,Jonathan Marchessault,NSH,R,78,21,35,56,206,2.641025641025641,10.194174757281553,0.717948717948718,0.2692307692307692,0.44871794871794873,-29,37,1078.6153
8478873,Troy Terry,ANA,R,77,21,34,55,188,2.4415584415584415,11.170212765957446,0.7142857142857143,0.2727272727272727,0.44155844155844154,0,20,1130.948
8480801,Brady Tkachuk,OTT,L,72,29,26,55,296,4.111111111111111,9.797297297297296,0.7638888888888888,0.4027777777777778,0.3611111111111111,0,123,1094.25
8475726,Tyler Toffoli,SJS,C,78,30,24,54,233,2.9871794871794872,12.875536480686694,0.6923076923076923,0.38461538461538464,0.3076923076923077,-21,14,1015.7692
8475314,Anders Lee,NYI,L,82,29,25,54,233,2.841463414634146,12.446351931330472,0.6585365853658537,0.35365853658536583,0.3048780487804878,3,35,1023.6219
8482124,Quinton Byfield,LAK,R,81,23,31,54,157,1.9382716049382716,14.64968152866242,0.6666666666666666,0.2839506172839506,0.38271604938271603,16,46,1117.4074
8484166,Adam Fantilli,CBJ,C,82,31,23,54,191,2.3292682926829267,16.230366492146597,0.6585365853658537,0.3780487804878049,0.2804878048780488,4,18,1048.6707
8475692,Mats Zuccarello,MIN,R,69,19,35,54,151,2.1884057971014492,12.582781456953644,0.782608695652174,0.2753623188405797,0.5072463768115942,0,22,1179.3768
8474564,Steven Stamkos,NSH,C,82,27,26,53,174,2.1219512195121952,15.517241379310345,0.6463414634146342,0.32926829268292684,0.3170731707317073,-36,48,1079.9878
8474578,Erik Karlsson,PIT,D,82,11,42,53,191,2.3292682926829267,5.7591623036649215,0.6463414634146342,0.13414634146341464,0.5121951219512195,-24,20,1394.1463
8480802,Ryan McLeod,BUF,C,79,20,33,53,97,1.2278481012658229,20.618556701030926,0.6708860759493671,0.25316455696202533,0.4177215189873418,13,16,1009.6075
8475722,Jason Zucker,BUF,L,73,21,32,53,143,1.9589041095890412,14.685314685314685,0.726027397260274,0.2876712328767123,0.4383561643835616,4,57,959.6301
8477409,Carter Verhaeghe,FLA,C,81,20,33,53,242,2.9876543209876543,8.264462809917356,0.654320987654321,0.24691358024691357,0.4074074074074074,-14,46,1072.1481
8475158,Ryan O'Reilly,NSH,C,79,21,32,53,151,1.9113924050632911,13.90728476821192,0.6708860759493671,0.26582278481012656,0.4050632911392405,-23,24,1139.3037
8479410,Mikhail Sergachev,UTA,D,77,15,38,53,132,1.7142857142857142,11.363636363636363,0.6883116883116883,0.19480519480519481,0.4935064935064935,-8,32,1507.0129
8478414,Timo Meier,NJD,R,80,26,27,53,239,2.9875,10.87866108786611,0.6625,0.325,0.3375,7,58,1071.575
8481604,Pavel Dorofeyev,VGK,R,82,35,17,52,254,3.097560975609756,13.779527559055119,0.6341463414634146,0.4268292682926829,0.2073170731707317,2,30,991.5975
8482745,Mason McTavish,ANA,C,76,22,30,52,180,2.3684210526315788,12.222222222222221,0.6842105263157895,0.2894736842105263,0.39473684210526316,0,38,1012.5394
